#name	source
ENSMUST00000159656	retained_intron
ENSMUST00000133144	protein_coding
ENSMUST00000140079	protein_coding
ENSMUST00000131494	protein_coding
ENSMUST00000043578	protein_coding
ENSMUST00000139756	protein_coding
ENSMUST00000131467	protein_coding
ENSMUST00000150761	protein_coding
ENSMUST00000151281	protein_coding
ENSMUST00000139838	protein_coding
ENSMUST00000163727	protein_coding
ENSMUST00000132207	nonsense_mediated_decay
ENSMUST00000142304	processed_transcript
ENSMUST00000151015	processed_transcript
ENSMUST00000130338	protein_coding
ENSMUST00000061280	protein_coding
ENSMUST00000029124	processed_pseudogene
ENSMUST00000104056	snoRNA
ENSMUST00000140295	protein_coding
ENSMUST00000132064	protein_coding
ENSMUST00000140302	nonsense_mediated_decay
ENSMUST00000115484	processed_transcript
ENSMUST00000135046	processed_transcript
ENSMUST00000115488	protein_coding
ENSMUST00000140995	processed_pseudogene
ENSMUST00000103887	miRNA
ENSMUST00000144593	nonsense_mediated_decay
ENSMUST00000134075	retained_intron
ENSMUST00000119877	processed_pseudogene
ENSMUST00000102181	miRNA
ENSMUST00000151704	processed_pseudogene
ENSMUST00000126083	processed_transcript
ENSMUST00000085919	processed_pseudogene
ENSMUST00000083691	snRNA
ENSMUST00000072079	protein_coding
ENSMUST00000144177	protein_coding
ENSMUST00000027044	nonsense_mediated_decay
ENSMUST00000130927	nonsense_mediated_decay
ENSMUST00000115480	antisense
ENSMUST00000145176	retained_intron
ENSMUST00000121942	processed_pseudogene
ENSMUST00000148585	antisense
ENSMUST00000153239	antisense
ENSMUST00000088666	protein_coding
ENSMUST00000148310	antisense
ENSMUST00000088658	protein_coding
ENSMUST00000115468	protein_coding
ENSMUST00000160022	retained_intron
ENSMUST00000160451	retained_intron
ENSMUST00000057438	protein_coding
ENSMUST00000166384	protein_coding
ENSMUST00000168907	protein_coding
ENSMUST00000063059	processed_pseudogene
ENSMUST00000158291	snRNA
ENSMUST00000171265	protein_coding
ENSMUST00000097826	protein_coding
ENSMUST00000052843	protein_coding
ENSMUST00000171802	protein_coding
ENSMUST00000118098	protein_coding
ENSMUST00000125294	protein_coding
ENSMUST00000140948	protein_coding
ENSMUST00000175437	snoRNA
ENSMUST00000097824	protein_coding
ENSMUST00000147000	protein_coding
ENSMUST00000124874	nonsense_mediated_decay
ENSMUST00000027049	protein_coding
ENSMUST00000130102	nonsense_mediated_decay
ENSMUST00000176398	protein_coding
ENSMUST00000134692	antisense
ENSMUST00000155163	retained_intron
ENSMUST00000179194	snRNA
ENSMUST00000027050	protein_coding
ENSMUST00000139578	retained_intron
ENSMUST00000150509	retained_intron
ENSMUST00000071087	protein_coding
ENSMUST00000143606	retained_intron
ENSMUST00000117415	protein_coding
ENSMUST00000118263	protein_coding
ENSMUST00000122156	protein_coding
ENSMUST00000119714	protein_coding
ENSMUST00000134716	retained_intron
ENSMUST00000155974	protein_coding
ENSMUST00000149214	protein_coding
ENSMUST00000153804	retained_intron
ENSMUST00000123261	retained_intron
ENSMUST00000136283	retained_intron
ENSMUST00000128164	retained_intron
ENSMUST00000136898	retained_intron
ENSMUST00000148663	retained_intron
ENSMUST00000088615	protein_coding
ENSMUST00000142497	retained_intron
ENSMUST00000156563	retained_intron
ENSMUST00000128834	retained_intron
ENSMUST00000157528	misc_RNA
ENSMUST00000131556	protein_coding
ENSMUST00000153695	nonsense_mediated_decay
ENSMUST00000035577	protein_coding
ENSMUST00000147575	retained_intron
ENSMUST00000118350	processed_pseudogene
ENSMUST00000179958	snRNA
ENSMUST00000140938	processed_transcript
ENSMUST00000119252	processed_pseudogene
ENSMUST00000157960	snoRNA
ENSMUST00000027056	protein_coding
ENSMUST00000104130	snoRNA
ENSMUST00000048613	protein_coding
ENSMUST00000171690	protein_coding
ENSMUST00000137824	protein_coding
ENSMUST00000135014	protein_coding
ENSMUST00000142117	processed_transcript
ENSMUST00000141512	nonsense_mediated_decay
ENSMUST00000150870	processed_transcript
ENSMUST00000179089	protein_coding
ENSMUST00000141339	protein_coding
ENSMUST00000179834	snRNA
ENSMUST00000180062	protein_coding
ENSMUST00000177608	protein_coding
ENSMUST00000088585	protein_coding
ENSMUST00000115403	protein_coding
ENSMUST00000115402	protein_coding
ENSMUST00000136197	protein_coding
ENSMUST00000146763	protein_coding
ENSMUST00000147606	protein_coding
ENSMUST00000133201	processed_transcript
ENSMUST00000059065	processed_pseudogene
ENSMUST00000047577	protein_coding
ENSMUST00000081713	protein_coding
ENSMUST00000068304	protein_coding
ENSMUST00000006037	protein_coding
ENSMUST00000146784	retained_intron
ENSMUST00000133232	retained_intron
ENSMUST00000147927	retained_intron
ENSMUST00000143603	retained_intron
ENSMUST00000139970	retained_intron
ENSMUST00000124088	retained_intron
ENSMUST00000145280	protein_coding
ENSMUST00000157157	snRNA
ENSMUST00000027068	protein_coding
ENSMUST00000027071	protein_coding
ENSMUST00000156222	retained_intron
ENSMUST00000088542	protein_coding
ENSMUST00000104180	snoRNA
ENSMUST00000158733	misc_RNA
ENSMUST00000027066	protein_coding
ENSMUST00000080664	protein_coding
ENSMUST00000168081	protein_coding
ENSMUST00000179783	miRNA
ENSMUST00000027062	protein_coding
ENSMUST00000067599	antisense
ENSMUST00000121569	processed_pseudogene
ENSMUST00000121367	processed_pseudogene
ENSMUST00000041447	protein_coding
ENSMUST00000157534	snoRNA
ENSMUST00000086739	processed_pseudogene
ENSMUST00000175681	protein_coding
ENSMUST00000158204	snoRNA
ENSMUST00000170146	protein_coding
ENSMUST00000104189	snoRNA
ENSMUST00000027057	protein_coding
ENSMUST00000040695	protein_coding
ENSMUST00000158318	misc_RNA
ENSMUST00000145070	protein_coding
ENSMUST00000151004	protein_coding
ENSMUST00000115367	protein_coding
ENSMUST00000058437	protein_coding
ENSMUST00000140597	processed_transcript
ENSMUST00000141217	retained_intron
ENSMUST00000151017	retained_intron
ENSMUST00000149566	protein_coding
ENSMUST00000125005	retained_intron
ENSMUST00000027053	protein_coding
ENSMUST00000152626	retained_intron
ENSMUST00000162751	protein_coding
ENSMUST00000054668	protein_coding
ENSMUST00000162627	protein_coding
ENSMUST00000027052	protein_coding
ENSMUST00000162435	protein_coding
ENSMUST00000160446	antisense
ENSMUST00000161626	antisense
ENSMUST00000159190	antisense
ENSMUST00000159558	protein_coding
ENSMUST00000128957	protein_coding
ENSMUST00000131257	protein_coding
ENSMUST00000115360	processed_transcript
ENSMUST00000162007	protein_coding
ENSMUST00000127420	nonsense_mediated_decay
ENSMUST00000149320	protein_coding
ENSMUST00000151888	protein_coding
ENSMUST00000153966	protein_coding
ENSMUST00000115359	protein_coding
ENSMUST00000145092	protein_coding
ENSMUST00000144138	protein_coding
ENSMUST00000117146	protein_coding
ENSMUST00000133639	nonsense_mediated_decay
ENSMUST00000136455	retained_intron
ENSMUST00000132919	retained_intron
ENSMUST00000115352	protein_coding
ENSMUST00000177501	protein_coding
ENSMUST00000177532	processed_transcript
ENSMUST00000065373	protein_coding
ENSMUST00000176451	processed_transcript
ENSMUST00000026881	protein_coding
ENSMUST00000071842	processed_pseudogene
ENSMUST00000038382	protein_coding
ENSMUST00000026879	protein_coding
ENSMUST00000150457	retained_intron
ENSMUST00000158909	snoRNA
ENSMUST00000088476	protein_coding
ENSMUST00000155588	antisense
ENSMUST00000127328	antisense
ENSMUST00000149914	antisense
ENSMUST00000159958	protein_coding
ENSMUST00000160305	protein_coding
ENSMUST00000095075	protein_coding
ENSMUST00000026876	protein_coding
ENSMUST00000130669	retained_intron
ENSMUST00000115340	protein_coding
ENSMUST00000115344	protein_coding
ENSMUST00000126871	unprocessed_pseudogene
ENSMUST00000097818	protein_coding
ENSMUST00000088463	protein_coding
ENSMUST00000097817	protein_coding
ENSMUST00000158175	snoRNA
ENSMUST00000159108	antisense
ENSMUST00000037294	protein_coding
ENSMUST00000149505	processed_transcript
ENSMUST00000073196	processed_pseudogene
ENSMUST00000162030	processed_pseudogene
ENSMUST00000027059	protein_coding
ENSMUST00000064976	protein_coding
ENSMUST00000122719	snoRNA
ENSMUST00000088448	protein_coding
ENSMUST00000132647	processed_transcript
ENSMUST00000161509	antisense
ENSMUST00000160969	processed_pseudogene
ENSMUST00000093665	snRNA
ENSMUST00000147480	retained_intron
ENSMUST00000128051	processed_transcript
ENSMUST00000083625	miRNA
ENSMUST00000083546	miRNA
ENSMUST00000027061	protein_coding
ENSMUST00000039046	protein_coding
ENSMUST00000053266	protein_coding
ENSMUST00000158233	snoRNA
ENSMUST00000068880	protein_coding
ENSMUST00000104126	snoRNA
ENSMUST00000167119	protein_coding
ENSMUST00000160782	processed_transcript
ENSMUST00000038447	protein_coding
ENSMUST00000037998	protein_coding
ENSMUST00000027065	protein_coding
ENSMUST00000027064	protein_coding
ENSMUST00000027067	protein_coding
ENSMUST00000121676	protein_coding
ENSMUST00000124990	protein_coding
ENSMUST00000178379	unprocessed_pseudogene
ENSMUST00000082032	processed_transcript
ENSMUST00000178869	transcribed_unprocessed_pseudogene
ENSMUST00000179730	processed_transcript
ENSMUST00000178260	unprocessed_pseudogene
ENSMUST00000088407	protein_coding
ENSMUST00000148174	unprocessed_pseudogene
ENSMUST00000137146	processed_pseudogene
ENSMUST00000070223	protein_coding
ENSMUST00000142979	unprocessed_pseudogene
ENSMUST00000140035	processed_pseudogene
ENSMUST00000147615	protein_coding
ENSMUST00000126985	processed_pseudogene
ENSMUST00000029667	protein_coding
ENSMUST00000115300	protein_coding
ENSMUST00000173058	protein_coding
ENSMUST00000174183	nonsense_mediated_decay
ENSMUST00000173404	protein_coding
ENSMUST00000115299	retained_intron
ENSMUST00000119064	processed_pseudogene
ENSMUST00000134505	processed_transcript
ENSMUST00000081544	protein_coding
ENSMUST00000115273	protein_coding
ENSMUST00000097809	protein_coding
ENSMUST00000097810	protein_coding
ENSMUST00000097811	protein_coding
ENSMUST00000164877	protein_coding
ENSMUST00000097808	protein_coding
ENSMUST00000073179	protein_coding
ENSMUST00000158928	snoRNA
ENSMUST00000083471	miRNA
ENSMUST00000083633	miRNA
ENSMUST00000027343	protein_coding
ENSMUST00000144602	protein_coding
ENSMUST00000063663	protein_coding
ENSMUST00000140583	protein_coding
ENSMUST00000149737	processed_transcript
ENSMUST00000027339	protein_coding
ENSMUST00000136506	processed_transcript
ENSMUST00000129254	protein_coding
ENSMUST00000148710	processed_transcript
ENSMUST00000141330	processed_transcript
ENSMUST00000133398	retained_intron
ENSMUST00000027338	protein_coding
ENSMUST00000155767	processed_transcript
ENSMUST00000027337	protein_coding
ENSMUST00000054588	protein_coding
ENSMUST00000088349	protein_coding
ENSMUST00000124600	processed_transcript
ENSMUST00000147902	processed_transcript
ENSMUST00000144297	processed_transcript
ENSMUST00000115244	protein_coding
ENSMUST00000051344	protein_coding
ENSMUST00000104275	snoRNA
ENSMUST00000088336	unprocessed_pseudogene
ENSMUST00000095062	protein_coding
ENSMUST00000126626	protein_coding
ENSMUST00000151309	protein_coding
ENSMUST00000146592	protein_coding
ENSMUST00000135518	protein_coding
ENSMUST00000041838	protein_coding
ENSMUST00000153568	retained_intron
ENSMUST00000126096	retained_intron
ENSMUST00000154102	processed_transcript
ENSMUST00000134022	retained_intron
ENSMUST00000119680	processed_pseudogene
ENSMUST00000178643	snRNA
ENSMUST00000122791	snRNA
ENSMUST00000157486	snoRNA
ENSMUST00000097801	protein_coding
ENSMUST00000179494	rRNA
ENSMUST00000145844	processed_pseudogene
ENSMUST00000059937	protein_coding
ENSMUST00000122295	processed_pseudogene
ENSMUST00000081488	processed_pseudogene
ENSMUST00000082499	misc_RNA
ENSMUST00000116975	miRNA
ENSMUST00000116741	miRNA
ENSMUST00000178702	miRNA
ENSMUST00000065469	lincRNA
ENSMUST00000088310	protein_coding
ENSMUST00000027232	protein_coding
ENSMUST00000153681	retained_intron
ENSMUST00000076587	protein_coding
ENSMUST00000130934	retained_intron
ENSMUST00000124445	processed_transcript
ENSMUST00000178317	processed_pseudogene
ENSMUST00000135273	processed_pseudogene
ENSMUST00000152491	processed_pseudogene
ENSMUST00000127775	protein_coding
ENSMUST00000062560	protein_coding
ENSMUST00000161773	protein_coding
ENSMUST00000135245	protein_coding
ENSMUST00000027230	protein_coding
ENSMUST00000104476	snoRNA
ENSMUST00000178167	processed_pseudogene
ENSMUST00000095050	processed_pseudogene
ENSMUST00000157995	snRNA
ENSMUST00000117896	processed_pseudogene
ENSMUST00000027226	protein_coding
ENSMUST00000082754	snRNA
ENSMUST00000171322	protein_coding
ENSMUST00000158864	snRNA
ENSMUST00000158770	misc_RNA
ENSMUST00000158125	snRNA
ENSMUST00000083289	snRNA
ENSMUST00000083326	snRNA
ENSMUST00000027312	protein_coding
ENSMUST00000088287	protein_coding
ENSMUST00000140354	retained_intron
ENSMUST00000138024	nonsense_mediated_decay
ENSMUST00000135330	retained_intron
ENSMUST00000151482	retained_intron
ENSMUST00000115174	protein_coding
ENSMUST00000150593	retained_intron
ENSMUST00000122822	retained_intron
ENSMUST00000132066	retained_intron
ENSMUST00000044691	protein_coding
ENSMUST00000155484	retained_intron
ENSMUST00000115167	protein_coding
ENSMUST00000019861	protein_coding
ENSMUST00000139143	nonsense_mediated_decay
ENSMUST00000151055	nonsense_mediated_decay
ENSMUST00000130376	processed_transcript
ENSMUST00000140163	processed_transcript
ENSMUST00000044455	protein_coding
ENSMUST00000125723	retained_intron
ENSMUST00000117459	processed_pseudogene
ENSMUST00000062289	protein_coding
ENSMUST00000129464	protein_coding
ENSMUST00000115161	protein_coding
ENSMUST00000126724	retained_intron
ENSMUST00000139700	processed_transcript
ENSMUST00000122557	snRNA
ENSMUST00000097786	protein_coding
ENSMUST00000097785	protein_coding
ENSMUST00000115104	protein_coding
ENSMUST00000175111	miRNA
ENSMUST00000042493	protein_coding
ENSMUST00000027303	protein_coding
ENSMUST00000149962	nonsense_mediated_decay
ENSMUST00000137794	nonsense_mediated_decay
ENSMUST00000134327	processed_transcript
ENSMUST00000128086	processed_transcript
ENSMUST00000136770	nonsense_mediated_decay
ENSMUST00000027302	protein_coding
ENSMUST00000027299	protein_coding
ENSMUST00000027298	protein_coding
ENSMUST00000115071	nonsense_mediated_decay
ENSMUST00000047840	protein_coding
ENSMUST00000062557	antisense
ENSMUST00000052670	protein_coding
ENSMUST00000159747	protein_coding
ENSMUST00000162599	protein_coding
ENSMUST00000159021	protein_coding
ENSMUST00000047664	protein_coding
ENSMUST00000162760	retained_intron
ENSMUST00000159059	retained_intron
ENSMUST00000160855	nonsense_mediated_decay
ENSMUST00000170092	protein_coding
ENSMUST00000167518	protein_coding
ENSMUST00000047534	protein_coding
ENSMUST00000140534	retained_intron
ENSMUST00000156687	protein_coding
ENSMUST00000027297	protein_coding
ENSMUST00000152654	protein_coding
ENSMUST00000104043	snoRNA
ENSMUST00000082667	snRNA
ENSMUST00000088174	protein_coding
ENSMUST00000046875	protein_coding
ENSMUST00000173999	retained_intron
ENSMUST00000174266	nonsense_mediated_decay
ENSMUST00000173250	retained_intron
ENSMUST00000174224	nonsense_mediated_decay
ENSMUST00000173166	nonsense_mediated_decay
ENSMUST00000173082	retained_intron
ENSMUST00000174716	retained_intron
ENSMUST00000174142	nonsense_mediated_decay
ENSMUST00000172592	retained_intron
ENSMUST00000056946	protein_coding
ENSMUST00000126413	protein_coding
ENSMUST00000142319	protein_coding
ENSMUST00000150747	retained_intron
ENSMUST00000145179	processed_transcript
ENSMUST00000124280	retained_intron
ENSMUST00000097778	protein_coding
ENSMUST00000116629	nonsense_mediated_decay
ENSMUST00000115031	protein_coding
ENSMUST00000115032	protein_coding
ENSMUST00000137906	protein_coding
ENSMUST00000115029	protein_coding
ENSMUST00000140218	retained_intron
ENSMUST00000147123	retained_intron
ENSMUST00000141121	retained_intron
ENSMUST00000010597	protein_coding
ENSMUST00000179162	protein_coding
ENSMUST00000140452	nonsense_mediated_decay
ENSMUST00000125304	protein_coding
ENSMUST00000134594	retained_intron
ENSMUST00000115011	protein_coding
ENSMUST00000001171	nonsense_mediated_decay
ENSMUST00000152088	protein_coding
ENSMUST00000123583	nonsense_mediated_decay
ENSMUST00000153128	protein_coding
ENSMUST00000001166	protein_coding
ENSMUST00000097776	protein_coding
ENSMUST00000154225	retained_intron
ENSMUST00000135100	retained_intron
ENSMUST00000054665	protein_coding
ENSMUST00000001172	protein_coding
ENSMUST00000114991	protein_coding
ENSMUST00000149224	antisense
ENSMUST00000170295	protein_coding
ENSMUST00000114981	protein_coding
ENSMUST00000161062	processed_pseudogene
ENSMUST00000104746	miRNA
ENSMUST00000081180	protein_coding
ENSMUST00000043951	protein_coding
ENSMUST00000159675	retained_intron
ENSMUST00000162684	retained_intron
ENSMUST00000159448	protein_coding
ENSMUST00000160084	protein_coding
ENSMUST00000160043	retained_intron
ENSMUST00000162662	processed_transcript
ENSMUST00000027291	protein_coding
ENSMUST00000027290	protein_coding
ENSMUST00000116168	processed_pseudogene
ENSMUST00000177688	rRNA
ENSMUST00000117172	protein_coding
ENSMUST00000124404	non_stop_decay
ENSMUST00000067178	protein_coding
ENSMUST00000162449	protein_coding
ENSMUST00000027289	nonsense_mediated_decay
ENSMUST00000169057	protein_coding
ENSMUST00000027288	protein_coding
ENSMUST00000146676	processed_transcript
ENSMUST00000136846	protein_coding
ENSMUST00000027287	protein_coding
ENSMUST00000132401	protein_coding
ENSMUST00000140264	protein_coding
ENSMUST00000137241	antisense
ENSMUST00000141402	antisense
ENSMUST00000132615	protein_coding
ENSMUST00000137266	protein_coding
ENSMUST00000058307	protein_coding
ENSMUST00000114933	protein_coding
ENSMUST00000168546	protein_coding
ENSMUST00000123124	retained_intron
ENSMUST00000027286	protein_coding
ENSMUST00000027285	protein_coding
ENSMUST00000144617	protein_coding
ENSMUST00000114925	protein_coding
ENSMUST00000118059	protein_coding
ENSMUST00000134184	retained_intron
ENSMUST00000151952	protein_coding
ENSMUST00000042161	protein_coding
ENSMUST00000154819	protein_coding
ENSMUST00000143636	protein_coding
ENSMUST00000149791	nonsense_mediated_decay
ENSMUST00000148047	protein_coding
ENSMUST00000151866	processed_pseudogene
ENSMUST00000162875	protein_coding
ENSMUST00000160023	protein_coding
ENSMUST00000160659	antisense
ENSMUST00000160589	protein_coding
ENSMUST00000041815	protein_coding
ENSMUST00000088072	protein_coding
ENSMUST00000114902	protein_coding
ENSMUST00000151735	nonsense_mediated_decay
ENSMUST00000123082	protein_coding
ENSMUST00000155852	protein_coding
ENSMUST00000134024	retained_intron
ENSMUST00000128085	protein_coding
ENSMUST00000041621	protein_coding
ENSMUST00000142670	protein_coding
ENSMUST00000144440	protein_coding
ENSMUST00000139725	protein_coding
ENSMUST00000027257	protein_coding
ENSMUST00000131754	processed_transcript
ENSMUST00000127170	processed_transcript
ENSMUST00000138806	retained_intron
ENSMUST00000027256	protein_coding
ENSMUST00000161694	retained_intron
ENSMUST00000160082	protein_coding
ENSMUST00000162513	retained_intron
ENSMUST00000078307	protein_coding
ENSMUST00000129513	antisense
ENSMUST00000027254	protein_coding
ENSMUST00000144184	processed_transcript
ENSMUST00000114894	protein_coding
ENSMUST00000158516	misc_RNA
ENSMUST00000162031	protein_coding
ENSMUST00000027252	protein_coding
ENSMUST00000027251	protein_coding
ENSMUST00000095027	protein_coding
ENSMUST00000039827	protein_coding
ENSMUST00000136641	processed_transcript
ENSMUST00000127620	antisense
ENSMUST00000133299	antisense
ENSMUST00000129696	antisense
ENSMUST00000027250	processed_transcript
ENSMUST00000143261	antisense
ENSMUST00000131663	antisense
ENSMUST00000134963	nonsense_mediated_decay
ENSMUST00000147695	protein_coding
ENSMUST00000039612	protein_coding
ENSMUST00000027249	protein_coding
ENSMUST00000088029	protein_coding
ENSMUST00000160214	protein_coding
ENSMUST00000027247	protein_coding
ENSMUST00000173050	protein_coding
ENSMUST00000056815	protein_coding
ENSMUST00000174365	processed_pseudogene
ENSMUST00000173076	processed_pseudogene
ENSMUST00000172825	processed_transcript
ENSMUST00000179954	protein_coding
ENSMUST00000178079	protein_coding
ENSMUST00000086535	protein_coding
ENSMUST00000054462	protein_coding
ENSMUST00000083695	snoRNA
ENSMUST00000161515	protein_coding
ENSMUST00000003219	protein_coding
ENSMUST00000160145	retained_intron
ENSMUST00000146314	processed_transcript
ENSMUST00000104516	snoRNA
ENSMUST00000062525	protein_coding
ENSMUST00000153381	retained_intron
ENSMUST00000083002	snoRNA
ENSMUST00000053355	protein_coding
ENSMUST00000151913	protein_coding
ENSMUST00000126760	processed_transcript
ENSMUST00000171319	protein_coding
ENSMUST00000163854	protein_coding
ENSMUST00000168431	protein_coding
ENSMUST00000027243	protein_coding
ENSMUST00000027241	protein_coding
ENSMUST00000114795	protein_coding
ENSMUST00000095020	protein_coding
ENSMUST00000174335	protein_coding
ENSMUST00000173881	protein_coding
ENSMUST00000097772	protein_coding
ENSMUST00000173514	protein_coding
ENSMUST00000053043	protein_coding
ENSMUST00000167723	protein_coding
ENSMUST00000108044	protein_coding
ENSMUST00000087983	protein_coding
ENSMUST00000027237	protein_coding
ENSMUST00000163057	retained_intron
ENSMUST00000159724	retained_intron
ENSMUST00000160468	retained_intron
ENSMUST00000027233	protein_coding
ENSMUST00000027231	protein_coding
ENSMUST00000039672	protein_coding
ENSMUST00000131390	nonsense_mediated_decay
ENSMUST00000144385	retained_intron
ENSMUST00000114765	protein_coding
ENSMUST00000178542	processed_pseudogene
ENSMUST00000066196	lincRNA
ENSMUST00000176154	lincRNA
ENSMUST00000176977	lincRNA
ENSMUST00000176052	lincRNA
ENSMUST00000078844	lincRNA
ENSMUST00000177136	lincRNA
ENSMUST00000176807	sense_overlapping
ENSMUST00000054883	protein_coding
ENSMUST00000057208	protein_coding
ENSMUST00000104260	snoRNA
ENSMUST00000179766	protein_coding
ENSMUST00000179655	processed_transcript
ENSMUST00000114761	protein_coding
ENSMUST00000158463	miRNA
ENSMUST00000095014	protein_coding
ENSMUST00000039080	antisense
ENSMUST00000010434	protein_coding
ENSMUST00000008280	protein_coding
ENSMUST00000178557	processed_pseudogene
ENSMUST00000086421	protein_coding
ENSMUST00000114744	protein_coding
ENSMUST00000136648	processed_transcript
ENSMUST00000124817	processed_transcript
ENSMUST00000027217	protein_coding
ENSMUST00000126008	protein_coding
ENSMUST00000076997	nonsense_mediated_decay
ENSMUST00000139451	protein_coding
ENSMUST00000153317	protein_coding
ENSMUST00000136179	processed_transcript
ENSMUST00000134860	processed_transcript
ENSMUST00000136704	nonsense_mediated_decay
ENSMUST00000163003	processed_pseudogene
ENSMUST00000128261	protein_coding
ENSMUST00000158223	snoRNA
ENSMUST00000179961	miRNA
ENSMUST00000087933	protein_coding
ENSMUST00000061421	protein_coding
ENSMUST00000162750	processed_transcript
ENSMUST00000159881	retained_intron
ENSMUST00000161575	processed_pseudogene
ENSMUST00000168641	protein_coding
ENSMUST00000027215	protein_coding
ENSMUST00000156392	protein_coding
ENSMUST00000128190	protein_coding
ENSMUST00000147571	protein_coding
ENSMUST00000133677	protein_coding
ENSMUST00000150911	protein_coding
ENSMUST00000152239	protein_coding
ENSMUST00000129702	protein_coding
ENSMUST00000147661	protein_coding
ENSMUST00000127923	protein_coding
ENSMUST00000143327	protein_coding
ENSMUST00000149502	protein_coding
ENSMUST00000125540	protein_coding
ENSMUST00000148542	processed_transcript
ENSMUST00000134195	processed_transcript
ENSMUST00000065767	protein_coding
ENSMUST00000141125	retained_intron
ENSMUST00000027213	protein_coding
ENSMUST00000149665	retained_intron
ENSMUST00000152643	nonsense_mediated_decay
ENSMUST00000155917	protein_coding
ENSMUST00000138521	processed_transcript
ENSMUST00000035991	protein_coding
ENSMUST00000114709	protein_coding
ENSMUST00000129068	protein_coding
ENSMUST00000027214	protein_coding
ENSMUST00000131177	retained_intron
ENSMUST00000139510	processed_transcript
ENSMUST00000145406	processed_transcript
ENSMUST00000137380	retained_intron
ENSMUST00000155862	retained_intron
ENSMUST00000054801	protein_coding
ENSMUST00000150062	retained_intron
ENSMUST00000161563	processed_pseudogene
ENSMUST00000074525	protein_coding
ENSMUST00000160854	protein_coding
ENSMUST00000159555	nonsense_mediated_decay
ENSMUST00000161793	processed_transcript
ENSMUST00000161066	protein_coding
ENSMUST00000160955	processed_pseudogene
ENSMUST00000162600	protein_coding
ENSMUST00000087883	protein_coding
ENSMUST00000129611	retained_intron
ENSMUST00000123204	retained_intron
ENSMUST00000086430	protein_coding
ENSMUST00000150143	retained_intron
ENSMUST00000134681	retained_intron
ENSMUST00000131535	retained_intron
ENSMUST00000179545	snRNA
ENSMUST00000083321	snoRNA
ENSMUST00000157139	ribozyme
ENSMUST00000027139	protein_coding
ENSMUST00000154436	retained_intron
ENSMUST00000142145	retained_intron
ENSMUST00000147308	protein_coding
ENSMUST00000143737	processed_transcript
ENSMUST00000146602	processed_transcript
ENSMUST00000135662	retained_intron
ENSMUST00000153604	processed_pseudogene
ENSMUST00000027137	protein_coding
ENSMUST00000085632	processed_pseudogene
ENSMUST00000051224	processed_transcript
ENSMUST00000171707	processed_transcript
ENSMUST00000167676	processed_transcript
ENSMUST00000069293	protein_coding
ENSMUST00000093689	rRNA
ENSMUST00000178395	protein_coding
ENSMUST00000027131	protein_coding
ENSMUST00000141226	retained_intron
ENSMUST00000121202	processed_pseudogene
ENSMUST00000178780	miRNA
ENSMUST00000157392	misc_RNA
ENSMUST00000083009	snRNA
ENSMUST00000175049	miRNA
ENSMUST00000056879	lincRNA
ENSMUST00000122582	misc_RNA
ENSMUST00000139157	processed_transcript
ENSMUST00000114565	protein_coding
ENSMUST00000081851	protein_coding
ENSMUST00000175165	miRNA
ENSMUST00000051572	protein_coding
ENSMUST00000027279	protein_coding
